,ActivePower(kW)
564,994.749572753906
565,933.423217773437
566,1049.43298339843
567,671.72412109375
568,966.831176757812
569,982.259094238281
570,825.661926269531
571,723.139221191406
572,418.641204833984
573,327.276214599609
574,388.316802978515
575,167.221801757812
576,137.246795654296
577,130.767105102539
578,117.811897277832
579,111.342903137207
580,114.295501708984
581,143.78709411621
582,88.9358291625976
583,183.669998168945
584,82.1443786621093
585,139.947204589843
586,434.501098632812
587,474.061096191406
588,415.149993896484
589,435.026397705078
590,402.387512207031
591,257.217010498046
592,137.417098999023
593,102.358703613281
594,92.7376708984375
595,78.115493774414
596,110.311698913574
597,102.55280303955
598,77.8506164550781
599,81.452781677246
600,66.6415100097656
601,90.014907836914
602,112.034202575683
603,82.114158630371
604,13.9343099594116
605,0.0
606,0.0
607,55.4453506469726
608,22.7805309295654
609,4.35507011413574
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,47.9093284606933
735,12.9529600143432
736,0.0
737,0.0
738,0.0
